رمان فانتزی, Fantasy Novel
ویرجینیا وولف, Virginia Woolf
ادبیات غیر‌داستانی, Nonfiction Literature
رمان واقع‌گرایی جادویی, Magical Realism Novel
شعر, Poetry
رمان پسامدرن, Postmodern Novel
رمان تاریخی, Historical Novel
ادبیات داستانی, Fiction Literature
رمان عاشقانه, romance novel
پژوهشی, research
علمی تخیلی, science fiction
داستان کوتاه, short story
علمی, scientific
رمان, novel
داستان, story
رمان تخیلی, speculative fiction
روانشناسی, psychology
کارولین دِ روبرتیس, Carolina De Robertis
ادبیات گمانه‌زن, speculative fiction
علمی, scientific
گراهام گرین, Graham Greene
لس‌آنجلس, Los Angeles
ارمنی, Armenian
تد چیانگ, Ted Chiang
۲۰۱۰, 2010
فانتزی‌ کم, low fantasy
روسیه, Russia
۱۹۹۵, 1995
ایتالیا, Italy
بوکوفسکی, Bukowski
جان فانته, John Fante
رمان, novel
دلقک, clown
کلاسیک, classic
پیشنهاد سروش روحبخش, Soroush Rohbakhsh’s suggestion
آوازخوانان, singers
شعر, poetry
لزبین, lesbian
گابریل گارسیا مارکز, Gabriel García Márquez
⭐⭐⭐⭐⭐ 5/5, five stars
استرالیا, Australia
۲۰۰۹, 2009
طنز, satire
فارسی, Persian
۱۹۴۰, 1940
زویا پیرزاد, Zoya Pirzad
اروگوئه, Uruguay
کوتزه, Coetzee
ریالیسم جادویی, magical realism
⭐⭐⭐⭐⭐⭐☆☆☆☆ 6/10, six out of ten
۲۰۲۰, 2020
علم, science
بولگاکف, Bulgakov
داستان کوتاه, short story
⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐ 10/10, ten out of ten
رمان تخیلی, speculative fiction
۲۰۱۹, 2019
بورخس, Borges
۲۰۰۵, 2005
جنگل نروژی, Norwegian Wood
ایرلند, Ireland
۱۹۸۹, 1989
۱۸۴۲, 1842
آفریقای جنوبی, South Africa
جاناتان فرانزن, Jonathan Franzen
۱۹۶۷, 1967
⭐⭐⭐⭐⭐⭐⭐☆☆☆ 7/10, seven out of ten
وجود, existence
⭐⭐⭐⭐⭐⭐⭐⭐☆☆ 8/10, eight out of ten
خانه هلندی, The Dutch House
انگلیس, England
ایشی‌گورو, Ishiguro
⭐⭐⭐⭐⭐⭐⭐⭐⭐☆ 9/10, nine out of ten
موراکامی, Murakami
بارسلونا, Barcelona
کانادا, Canada
علمی تخیلی, science fiction
استفان هاوکینگ, Stephen Hawking
هوش مصنوعی, artificial intelligence
۲۰۱۸, 2018
سرگذشت, memoir
اسپانیا, Spain
ایتالو کالوینو, Italo Calvino
هاینریش بل, Heinrich Böll
داستان, story
کافکا در کرانه, Kafka on the Shore
باشگاه کتاب, book club
⭐⭐⭐☆☆☆☆☆☆☆ 3/10, three out of ten
داستایفسکی, Dostoevsky
آلمان, Germany
ژاپن, Japan
سوید, Sweden
استیو تولتز, Steve Toltz
⭐⭐⭐⭐☆☆☆☆☆☆ 4/10, four out of ten
یوناس یوناسون, Jonas Jonasson
آرژانتین, Argentina
⭐☆☆☆☆☆☆☆☆☆ 1/10, one out of ten
کمدی, comedy
آمریکا, America
ایران, Iran
۲۰۰۱, 2001
کلمبیا, Colombia
۱۹۹۴, 1994
فلسفه,Philosophy
ادبیات غیر داستانی, NonFicional Literature
رمان ادبی, Novel
۲۰۱۵, 2015
رمان طنز, Comedy
رئالیسم جادویی, Magical Realism
فرانسه,France
آمریکا و اروگوئه,USA and Uruguay
سوئیس,swiss
لهسان و آمریکا,Poland and USA
سریلانکا,Sri Lanka
برزیل,Brazil
انگلستان,UK
نیجریه,Nigeria
شیلی,Chile
مکزیک,Mexico
ترکیه,Turkey
سوئد,Sweden
پرو,Peru
رمان تاریخی و اجتماعی,Social and Historical Novel
رمان اجتماعی,Social Novel
طنز اجتماعی,Social Comedy
رمان گوتیک,Gothic Novel
ادبی,Literature
فلسفی,Philosophical
رمان سیاسی،اجتماعی،ادبی,Political Novel
شعر کلاسیک,Classical Poem
فانتزی,Fantasy
رمان طنز اجتماعی,Social Comedy
مجموعه داستان کوتاه,Short Stories
رمان ادبی، خانوادگی، اجتماعی,Social and Family Novel
رمان طنز و فانتزی,Fantasy and Comedy
'رمان ادبی و تاریخی,Historical Novel
رمان ادبی و تاریخی,Historical Novel
رمان اجتماعی و روابط دوستی,Social Novel
رمان اجتماعی و ادبی و طنز,Comedy and Social
رمان روانشناسی,Psychological Novel
رمان تاریخی اجتماعی,Historical Novel
فانتزی کم,Light Fantasy
رمان طنز و اجتماعی,Social Satire
فانتزی و اجتماعی,Fantasy
آموزشی,Educational
